puka1,puka2,full_name,preferred_name,new_nic,old_nic,cif,t_pin,marital_status,spouse_name,passport,driving_license,business_name,business_reg_number,business_registered_date,mobile_number,staff_pf,alternative_number,email,address1,address2,address3,town,district,postal_code,province,alternate_address1,alternate_address2,alternate_address3,alternate_town,alternate_district,alternate_postal_code,preferred_language,customer_since,citizenship,profession,employer,dob,branch,relationship_manager,customer_status,customer_type,vip_flag,group_code
MASTER,M,,ABAKOON TMSM,808182830,,40000,1121,S,Mrs. ABAKOON TMSM,,ABA1121121,ABAKOON TMSM-124,11211244W12181,,779094680,21121121,726257000,AAA121@SCICOM.COM.MY,AAAS M THENNAKOON,"AB12/1A,",AAAWANAHENA,WENDALA,RUWANWELLA,,Central,121S M THENNAKOON,AAA/1A,AAAWANAHENA,WENDALA,RUWANWELLA,1121121111,Sinhala,210116,94,MANAGER,GATEWAY SRP,2015309,634,ABAAR TA TWP,A,P,N,A12
MR,M,,BCEYAKUMAR T,908182831,,50001,2232,S,Mrs. BCEYAKUMAR T,,BCB2232232,BCEYAKUMAR T-124,22321244V23281,,779094681,32232232,726257001,BBB232@SCICOM.COM.MY,BBBS M YAKUMAR,"BC2355/2 T, 18",BBBAND PLACE,COLOMBO 7,RUWANWELLA,,Eastern,232YAKUMAR,BBB55/2 T 18,BBBAND PLACE,WENDALA,RUWANWELLA,2232232222,Sinhala,221007,0,PHOTOGRAPHER,GATEWAY SRP,1991058,453,BCE TWP WGVK,A,P,N,B23
MR,M,,CDDAPALA TWP,1008182832,,50002,3343,S,Mrs. CDDAPALA TWP,,CDC3343343,CDDAPALA TWP-050,33430500V34390,,779094682,43343343,726257002,CCC343@SCICOM.COM.MY,CCCS M MAHINDAPALA,CD346/C BALANGODA ROAD,CCCAYAKA,COLOMBO 7,RUWANWELLA,,Northern,343MAHINDAPALA,CCC6/C BALANGODA ROAD,CCCAYAKA,COLOMBO 7,RUWANWELLA,3343343333,Sinhala,280110,94,BUSINESS (READY MADE GARMENT),SELF,1988169,683,CDDWGVKA G C,A,P,N,C34
MR,M,,DEAYAKA WGVK,1108182833,,50003,4454,M,Mrs. DEAYAKA WGVK,,DED4454454,DEAYAKA WGVK-141,44541416V45481,,779094683,54454454,726257003,DDD454@SCICOM.COM.MY,DDDM M RATHNAYAKA,"""DE452""",DDDLAWA,GALENBINDUNUWEWA,RUWANWELLA,,Southern,454KUMARA RATHNAYAKA,DDD2,DDDLAWA,COLOMBO 7,RUWANWELLA,4454454444,Sinhala,100912,94,BUSINESS,SELF,1985347,122,DEA G C HGIK,A,P,Y,D45
MISS,F,,EFNTHI A G C,1208182834,,50004,5565,S,Mr. EFNTHI A G C,,EFE5565565,EFNTHI A G C-293,55652935V56572,,779094684,65565565,726257004,EEE565@SCICOM.COM.MY,EEES F MALKANTHI,EF56ANDA,EEELABEDDA,HAPUTHALE,RUWANWELLA,,Western,565C MALKANTHI,EEEANDA,EEELABEDDA,GALENBINDUNUWEWA,RUWANWELLA,5565565555,Sinhala,170114,94,BUSINESS (CYCLE SPARE PARTS),TANI GEM'S & JEWEL'S ACADEMY,1992107,515,EFNHGIKHAS I,A,P,N,E56
MS,F,,FGINGHE HGIK,1308182835,,50005,6676,,Mr. FGINGHE HGIK,,FGF6676676,FGINGHE HGIK-156,66761564V67681,,779094685,76676676,726257005,FFF676@SCICOM.COM.MY,FFF  SAMARASINGHE,FG67GODA JUNCTION,FFFARAWA,GALPORUGOLLA,RUWANWELLA,,Central,676I K SAMARASINGHE,FFFGODA JUNCTION,FFFARAWA,HAPUTHALE,RUWANWELLA,6676676666,Sinhala,290807,0,ATTONEY-AT-LAW,SELF,1982177,92,FGIAS IKANNA,A,P,Y,F67
MS,M,,GHSIVATHAS I,1408182836,,50006,7787,M,Mrs. GHSIVATHAS I,,GHG7787787,GHSIVATHAS I-356,77873568V78713,,779094686,87787787,726257006,GGG787@SCICOM.COM.MY,GGGM M SIVATHAS,GH78HAVASAM,GGG OFFICE ROAD,CHAVAKACHCHERI,RUWANWELLA,,Eastern,787URAI SIVATHAS,GGGHAVASAM,GGG OFFICE ROAD,GALPORUGOLLA,RUWANWELLA,7787787777,Sinhala,270111,94,CONSULTANT,M.C,1950160,23,GHSANNAHE MC,A,P,N,G78
MS,F,,HI WELIKANNA,1508182837,,50007,8898,S,Mr. HI WELIKANNA,,HIH8898898,HI WELIKANNA-085,88980850V89820,,779094687,98898898,726257007,HHH898@SCICOM.COM.MY,HHHS F WELIKANNA,HI89,HHHRIYA ROAD,ARUKWATHTHA,PADUKKA,,Northern,898A D WELIKANNA,898A D WELIKANNA,HHHRIYA ROAD,CHAVAKACHCHERI,PADUKKA,8898898888,Sinhala,201212,94,FRUIT SELLING,AKIO-KOBAYASHI INT.AUTO ASSEMBLE(PVT)LTD,1977052,678,HI E MC NLAP,A,P,Y,H89
MS,F,,IJASINGHE MC,1608182838,,50008,9909,M,Mr. IJASINGHE MC,,IJI9909909,IJASINGHE MC-001,9.91E+13,,779094688,9909909,726257008,III909@SCICOM.COM.MY,IIIM F UBASINGHE,IJ904,IIIRA ROAD,AKURESSA,PADUKKA,,Southern,909UBASINGHE,III4,IIIRA ROAD,ARUKWATHTHA,PADUKKA,9909909989,Sinhala,190918,94,FRUIT SELLING,SELF,1970271,613,IJANLAPAN AS,A,P,N,I90
     MR,M,,JKSANJU NLAP,1708182839,,50009,1121,S,Mrs. JKSANJU NLAP,,JKJ1121121,JKSANJU NLAP-294,11212943V12192,,779094689,21121121,726257009,JJJ121@SCICOM.COM.MY,JJJS M SANJU,JK12,JJJELA,NELUWA.,PADUKKA,,Western,121P SANJU,121P SANJU,JJJELA,AKURESSA,PADUKKA,1121121111,Sinhala,40806,94,BUSINESS,SELF,1997328,667,JKSN ASMYGSH,A,P,N,J12
