Account Number,Product Name,Account Limit,Account Status,Branch name,Digital Products,CIF,Relationship,NIC,Currency
1121343121,Credit Card - Gold Visa,1000000,Active,Upcott,B- App,8580112185,Joint,85801121851282V,LKR
2232454232,Credit Card - Gold Visa,1010000,Active,Wilgamuwa,B- App,2823623282,Individual,28236232821299V,LKR
3343565343,Credit Card - Gold Visa,1020000,Active,Addalachchenai,C- App,4358234358,Individual,43582343581316V,LKR
4454676454,Credit Card - Gold Visa,1030000,Active,Alankerny,B- App,5829145458,Individual,58291454581333V,LKR
5565787565,Credit Card - Gold Visa,1040000,Active,Araiyampathy,B- App,4958656549,Individual,49586565491350V,LKR
6676898676,Debit Card - Gold Visa,1050000,Non Active,Batticaloa Town,D- Dep,6187767618,Joint,61877676181367V,LKR
7787909787,Debit Card - Gold Visa,1060000,Non Active,Independent Square,B- App,5549278755,Joint,55492787551384V,LKR
159709158,Credit Card - Gold Visa,1000001,Active,Upcott,B- App,4909489849,Joint,49094898491401V,LKR
1270820269,Credit Card - Gold Visa,1010001,Active,Wilgamuwa,I- Hus,1896190918,Individual,18961909181418V,LKR
2381931380,Credit Card - Gold Visa,1020001,Active,Addalachchenai,B- App,1284212128,Individual,12842121281435V,LKR
4454676454,Credit Card - Gold Visa,1030001,Active,Alankerny,B- App,2187023218,Individual,21870232181452V,LKR
4454676454,Credit Card - Gold Visa,1040001,Active,Alankerny,B- App,5963834359,Individual,59638343591469V,LKR
5565787565,Credit Card - Gold Visa,1050001,Active,Araiyampathy,B- App,2075945420,Individual,20759454201486V,LKR
6676898676,Debit Card - Gold Visa,1060001,Non Active,Batticaloa Town,B- App,7489656574,Joint,74896565741503V,LKR
7787909787,Debit Card - Gold Visa,1070001,Non Active,Independent Square,B- App,3165767631,Joint,31657676311520V,LKR
159709158,Credit Card - Gold Visa,1000001,Active,Upcott,B- App,1219978712,Joint,12199787121537V,LKR
1270820269,Credit Card - Gold Visa,1010001,Active,Wilgamuwa,B- App,8985289852,Individual,89852898521554V,LKR
2381931380,Credit Card - Gold Visa,1020001,Active,Addalachchenai,B- App,9896290989,Individual,98962909891571V,LKR
4454676454,Credit Card - Gold Visa,1030001,Active,Alankerny,B- App,2128112128,Individual,21281121281588V,LKR
4454676455,Credit Card - Gold Visa,1030101,Non Active,Upcott,B- App,2520023252,Joint,25200232521605V,LKR
4454676456,Credit Card - Gold Visa,1030201,Active,Wilgamuwa,B- App,4384134384,Individual,43841343841622V,LKR
4454676457,Credit Card - Gold Visa,1030301,Active,Addalachchenai,C- App,4971845497,Individual,49718454971639V,LKR
4454676458,Credit Card - Gold Visa,1030401,Active,Alankerny,B- App,3254756532,Individual,32547565321656V,LKR
4454676459,Credit Card - Gold Visa,1030501,Active,Araiyampathy,B- App,9352067693,Individual,93520676931673V,LKR
4454676460,Credit Card - Gold Visa,1030601,Active,Batticaloa Town,D- Dep,8124078781,Joint,81240787811690V,LKR
4454676461,Debit Card - Gold Visa,1030701,Non Active,Independent Square,B- App,4518689845,Joint,45186898451707V,LKR
4454676462,Debit Card - Gold Visa,1030801,Non Active,Upcott,B- App,9520790952,Joint,95207909521724V,LKR
4454676463,Credit Card - Gold Visa,1030901,Active,Wilgamuwa,I- Hus,1208312120,Individual,12083121201741V,LKR
4454676464,Credit Card - Gold Visa,1031001,Active,Addalachchenai,B- App,3123223231,Individual,31232232311758V,LKR
4454676465,Credit Card - Gold Visa,1031101,Active,Alankerny,B- App,3758634375,Individual,37586343751775V,LKR
4454676466,Credit Card - Gold Visa,1031201,Active,Alankerny,B- App,7815145478,Individual,78151454781792V,LKR
4454676467,Credit Card - Gold Visa,1031301,Active,Araiyampathy,B- App,5982056598,Individual,59820565981809V,LKR
4454676468,Credit Card - Gold Visa,1031401,Active,Batticaloa Town,B- App,9390367693,Joint,93903676931826V,LKR
4454676469,Debit Card - Gold Visa,1031501,Non Active,Independent Square,B- App,7872478724,Joint,78724787241843V,LKR
4454676470,Debit Card - Gold Visa,1031601,Non Active,Upcott,B- App,8982589825,Joint,89825898251860V,LKR
4454676471,Credit Card - Gold Visa,1031701,Active,Wilgamuwa,B- App,8580190985,Individual,85801909851877V,LKR
4454676472,Credit Card - Gold Visa,1031801,Active,Addalachchenai,B- App,1823612182,Individual,18236121821894V,LKR
4454676473,Credit Card - Gold Visa,1031901,Active,Alankerny,B- App,3258223258,Individual,32582232581911V,LKR
4454676474,Credit Card - Gold Visa,1032001,Active,Wilgamuwa,B- App,5829134358,Individual,58291343581928V,LKR
4454676475,Credit Card - Gold Visa,1032101,Active,Addalachchenai,C- App,4958645449,Individual,49586454491945V,LKR
4454676476,Credit Card - Gold Visa,1032201,Active,Alankerny,B- App,5187756518,Individual,51877565181962V,LKR
4454676477,Credit Card - Gold Visa,1032301,Active,Araiyampathy,B- App,5549267655,Individual,55492676551979V,LKR
4454676478,Credit Card - Gold Visa,1032401,Active,Batticaloa Town,D- Dep,4909478749,Joint,49094787491996V,LKR
4454676479,Debit Card - Gold Visa,1032501,Non Active,Independent Square,B- App,1896189818,Joint,18961898182013V,LKR
4454676480,Debit Card - Gold Visa,1032601,Non Active,Upcott,B- App,9284290928,Joint,92842909282030V,LKR
4454676481,Credit Card - Gold Visa,1032701,Active,Wilgamuwa,I- Hus,1187012118,Individual,11870121182047V,LKR
4454676482,Credit Card - Gold Visa,1032801,Active,Addalachchenai,B- App,5963823259,Individual,59638232592064V,LKR
4454676483,Credit Card - Gold Visa,1032901,Active,Alankerny,B- App,2075934320,Individual,20759343202081V,LKR
4454676484,Credit Card - Gold Visa,1033001,Active,Alankerny,B- App,7489645474,Individual,74896454742098V,LKR
4454676485,Credit Card - Gold Visa,1033101,Active,Araiyampathy,B- App,3165756531,Individual,31657565312115V,LKR
4454676486,Credit Card - Gold Visa,1033201,Active,Batticaloa Town,B- App,1219967612,Joint,12199676122132V,LKR
4454676487,Debit Card - Gold Visa,1033301,Non Active,Independent Square,B- App,7875278752,Joint,78752787522149V,LKR
4454676488,Debit Card - Gold Visa,1033401,Non Active,Upcott,B- App,8896289889,Joint,88962898892166V,LKR
4454676489,Credit Card - Gold Visa,1033501,Active,Wilgamuwa,B- App,928190928,Individual,9281909282183V,LKR
4454676490,Credit Card - Gold Visa,1033601,Active,Addalachchenai,B- App,1520012152,Individual,15200121522200V,LKR
4454676491,Credit Card - Gold Visa,1033701,Active,Alankerny,B- App,3284123284,Individual,32841232842217V,LKR
4454676492,Credit Card - Gold Visa,1033801,Active,Wilgamuwa,B- App,3971834397,Individual,39718343972234V,LKR
4454676493,Credit Card - Gold Visa,1033901,Active,Addalachchenai,C- App,3254745432,Individual,32547454322251V,LKR
4454676494,Credit Card - Gold Visa,1034001,Active,Alankerny,B- App,9352056593,Individual,93520565932268V,LKR
4454676495,Credit Card - Gold Visa,1034101,Active,Araiyampathy,B- App,8124067681,Individual,81240676812285V,LKR
4454676496,Credit Card - Gold Visa,1034201,Active,Batticaloa Town,D- Dep,4518678745,Joint,45186787452302V,LKR
4454676497,Debit Card - Gold Visa,1034301,Non Active,Independent Square,B- App,8520789852,Joint,85207898522319V,LKR
4454676498,Debit Card - Gold Visa,1034401,Non Active,Upcott,B- App,9208390920,Joint,92083909202336V,LKR
4454676499,Credit Card - Gold Visa,1034501,Active,Wilgamuwa,I- Hus,3123212131,Individual,31232121312353V,LKR
4454676500,Credit Card - Gold Visa,1034601,Active,Addalachchenai,B- App,2758623275,Individual,27586232752370V,LKR
4454676501,Credit Card - Gold Visa,1034701,Active,Alankerny,B- App,7815134378,Individual,78151343782387V,LKR
4454676502,Credit Card - Gold Visa,1034801,Active,Alankerny,B- App,4982045498,Individual,49820454982404V,LKR
4454676503,Credit Card - Gold Visa,1034901,Active,Araiyampathy,B- App,9390356593,Individual,93903565932421V,LKR
4454676504,Credit Card - Gold Visa,1035001,Active,Batticaloa Town,B- App,8859167688,Joint,88591676882438V,LKR
4454676505,Debit Card - Gold Visa,1035101,Non Active,Independent Square,B- App,7624878762,Joint,76248787622455V,LKR
4454676506,Debit Card - Gold Visa,1035201,Non Active,Upcott,B- App,8404389840,Joint,84043898402472V,LKR
4454676507,Credit Card - Gold Visa,1035301,Active,Wilgamuwa,B- App,9622490962,Individual,96224909622489V,LKR
4454676508,Credit Card - Gold Visa,1035401,Active,Addalachchenai,B- App,1155512115,Individual,11555121152506V,LKR
4454676509,Credit Card - Gold Visa,1035501,Active,Alankerny,B- App,7346523273,Individual,73465232732523V,LKR
4454676510,Credit Card - Gold Visa,1035601,Active,Wilgamuwa,B- App,4221534342,Individual,42215343422540V,LKR
4454676511,Credit Card - Gold Visa,1035701,Active,Addalachchenai,C- App,4639845463,Individual,46398454632557V,LKR
4454676512,Credit Card - Gold Visa,1035801,Active,Alankerny,B- App,7229456572,Individual,72294565722574V,LKR
4454676513,Credit Card - Gold Visa,1035901,Active,Araiyampathy,B- App,8491767684,Individual,84917676842591V,LKR
4454676514,Credit Card - Gold Visa,1036001,Active,Batticaloa Town,D- Dep,8609078786,Joint,86090787862608V,LKR
4454676515,Debit Card - Gold Visa,1036101,Non Active,Independent Square,B- App,2027789820,Joint,20277898202625V,LKR
